,City,Country,Temp,Humidity,Lat,Long,Cloud,Wind,Date
0,Hilo,US,78.78,54,19.73,-155.09,40,11.41,1592007263
1,Yellowknife,CA,64.9,55,62.46,-114.35,40,11.41,1592007250
2,Lompoc,US,67.19,49,34.64,-120.46,0,14.99,1592007263
3,San Vicente,AR,66.61,82,-26.62,-54.13,0,4.56,1592007264
4,Lebu,CL,47.44,74,-37.62,-73.65,3,3.49,1592007264
5,Safi,MA,67.14,75,32.3,-9.24,57,4.05,1592007264
6,Point Fortin,TT,81.0,78,10.18,-61.68,77,14.94,1592007097
7,Jamestown,US,57.6,66,42.1,-79.24,40,11.41,1592007054
8,Makakilo City,US,83.3,48,21.35,-158.09,40,11.41,1592007264
9,New Norfolk,AU,44.33,83,-42.78,147.06,89,2.77,1592007264
10,San Patricio,MX,85.15,65,19.22,-104.7,47,7.9,1592007264
11,Pangkalanbuun,ID,78.3,90,-2.68,111.62,78,1.77,1592007264
12,Qaanaaq,GL,32.83,91,77.48,-69.36,16,0.81,1592007264
13,Port Alfred,ZA,57.0,57,-33.59,26.89,1,5.01,1592007265
14,Airai,TL,65.62,87,-8.93,125.41,74,4.12,1592007265
15,Termoli,IT,62.01,61,41.99,14.99,0,1.99,1592007265
16,Leningradskiy,RU,56.12,53,69.38,178.42,55,10.69,1592007265
17,San Jose,US,69.03,40,37.34,-121.89,75,13.87,1592006995
18,Broken Hill,AU,57.2,50,-31.95,141.43,100,12.75,1592007265
19,Atkinson,US,73.8,41,42.84,-71.15,13,1.01,1592007265
20,Avera,US,83.17,48,33.19,-82.53,75,5.82,1592007265
21,Khasan,RU,70.09,65,42.43,130.64,23,0.69,1592007266
22,Bethel,US,73.11,52,41.37,-73.41,18,1.01,1592007266
23,Christchurch,NZ,47.86,70,-43.53,172.63,0,1.12,1592007266
24,Atuona,PF,80.62,80,-9.8,-139.03,8,21.63,1592007266
25,Berdigestyakh,RU,67.91,51,62.1,126.7,79,4.52,1592007266
26,Narsaq,GL,41.0,86,60.92,-46.05,100,5.82,1592007270
27,Rikitea,PF,75.76,79,-23.12,-134.97,11,19.98,1592007270
28,Kaitangata,NZ,45.14,70,-46.28,169.85,1,6.76,1592007270
29,Zhigansk,RU,48.56,95,66.77,123.37,100,11.68,1592007270
30,Butaritari,KI,82.24,78,3.07,172.79,73,14.12,1592007274
31,Jalu,LY,82.56,32,29.03,21.55,0,13.6,1592007274
32,Albany,US,67.32,41,42.6,-73.97,8,12.08,1592007226
33,Cividale del Friuli,IT,62.94,94,46.09,13.43,38,2.21,1592007275
34,Saint George,US,99.32,7,37.1,-113.58,1,25.28,1592007015
35,Busselton,AU,50.0,91,-33.65,115.33,89,12.77,1592007275
36,Severo-Kuril'sk,RU,42.12,92,50.68,156.12,100,25.37,1592007275
37,Antsohihy,MG,71.85,60,-14.88,47.99,89,9.31,1592007275
38,Marzuq,YE,83.26,33,14.4,46.47,84,2.93,1592007275
39,Carrick-on-Suir,IE,57.29,86,52.35,-7.41,100,1.01,1592007275
40,Tifton,US,72.97,94,31.45,-83.51,68,18.34,1592007275
41,Mataura,NZ,45.0,85,-46.19,168.86,46,5.01,1592007276
42,Ushuaia,AR,32.0,93,-54.8,-68.3,90,28.86,1592007276
43,Cabo San Lucas,MX,86.0,49,22.89,-109.91,1,4.0,1592007276
44,Vaini,TO,73.4,69,-21.2,-175.2,40,14.99,1592007278
45,San Cristobal,VE,84.2,66,7.77,-72.22,40,9.17,1592007278
46,Saint-Philippe,RE,60.73,59,-21.36,55.77,20,6.93,1592007279
47,Bilma,NE,89.76,20,18.69,12.92,0,4.14,1592007281
48,Port Blair,IN,82.83,83,11.67,92.75,100,9.53,1592007281
49,Tiarei,PF,86.0,70,-17.53,-149.33,40,13.87,1592007281
50,Port Lincoln,AU,56.16,87,-34.73,135.87,100,17.13,1592007281
51,Port Hardy,CA,53.6,93,50.7,-127.42,75,11.41,1592007165
52,Faanui,PF,80.46,81,-16.48,-151.75,10,13.31,1592007282
53,Cidreira,BR,66.85,94,-30.18,-50.21,34,8.39,1592007134
54,Hermanus,ZA,52.0,83,-34.42,19.23,52,1.01,1592007162
55,Chiman,PK,77.0,78,32.55,73.81,40,4.7,1592007282
56,Avarua,CK,77.0,61,-21.21,-159.78,28,8.05,1592007282
57,Te Anau,NZ,41.09,69,-45.42,167.72,1,1.14,1592007282
58,Tuktoyaktuk,CA,57.2,54,69.45,-133.04,75,19.46,1592007282
59,Strezhevoy,RU,62.6,93,60.73,77.59,90,8.95,1592007282
60,Hobart,AU,46.31,71,-42.88,147.33,75,10.29,1592007181
