,City,Country,Temp,Humidity,Lat,Long,Cloud,Wind,Date
0,Torbay,CA,63.0,41,47.67,-52.73,90,24.16,1592435924
1,Ambon City,ID,80.6,83,-3.7,128.18,75,4.7,1592435938
2,Puyang,CN,82.44,77,29.46,119.89,85,5.12,1592435939
3,Menomonie,US,84.2,34,44.88,-91.92,1,12.75,1592435897
4,Salalah,OM,84.2,89,17.02,54.09,40,2.24,1592435939
5,Khingansk,RU,54.54,74,49.12,131.18,84,2.46,1592435939
6,Ushuaia,AR,35.6,80,-54.8,-68.3,63,5.82,1592435939
7,Petropavlovsk-Kamchatskiy,RU,44.6,100,53.05,158.65,90,4.47,1592435939
8,Hilo,US,82.4,54,19.73,-155.09,75,5.82,1592435835
9,Kawalu,ID,72.45,92,-7.38,108.21,100,1.34,1592435939
10,Tual,ID,80.56,84,-5.67,132.75,24,21.23,1592435903
11,Atuona,PF,80.62,74,-9.8,-139.03,1,14.72,1592435940
12,Barrow,US,42.8,70,71.29,-156.79,1,12.75,1592435806
13,Labuhan,ID,76.98,87,-6.88,112.21,12,6.89,1592435826
14,Owando,CG,73.04,67,-0.48,15.9,38,1.63,1592435940
15,Flin Flon,CA,44.6,93,54.77,-101.86,90,13.87,1592435944
16,Busselton,AU,51.01,85,-33.65,115.33,32,18.28,1592435944
17,Gao,ML,98.33,21,16.64,1.64,57,10.47,1592435944
18,Ambovombe,MG,63.45,83,-25.17,46.08,57,13.78,1592435944
19,Chokurdakh,RU,78.44,29,70.63,147.92,9,8.75,1592435813
20,Codrington,AU,47.95,82,-38.27,141.97,72,12.82,1592435944
21,Birjand,IR,68.0,20,32.87,59.22,0,4.7,1592435944
22,Jiuquan,CN,69.71,23,39.74,98.52,89,4.21,1592435944
23,Inhambane,MZ,67.14,79,-23.86,35.38,48,13.73,1592435944
24,Jamestown,US,78.8,41,42.1,-79.24,1,11.41,1592435648
25,Arraial do Cabo,BR,71.6,68,-22.97,-42.03,20,9.17,1592435804
26,Maraã,BR,75.09,96,-1.83,-65.37,86,1.7,1592435945
27,Kavieng,PG,84.65,69,-2.57,150.8,16,9.01,1592435811
28,Pisco,PE,68.0,72,-13.7,-76.22,0,19.46,1592435945
29,Bredasdorp,ZA,39.2,93,-34.53,20.04,0,4.94,1592435849
30,Lavrentiya,RU,50.58,63,65.58,-171.0,38,5.26,1592435841
31,Tonantins,BR,77.04,86,-2.87,-67.8,74,2.17,1592435948
32,Sovetskiy,RU,42.1,77,61.36,63.58,40,7.27,1592435948
33,Swellendam,ZA,39.2,93,-34.02,20.44,0,7.49,1592435948
34,Grand Forks,US,93.2,36,47.93,-97.03,75,26.4,1592435899
35,Hermanus,ZA,50.0,83,-34.42,19.23,25,7.0,1592435808
36,Upernavik,GL,35.13,85,72.79,-56.15,0,6.53,1592435833
37,Eyl,SO,83.03,61,7.98,49.82,64,27.54,1592435949
38,Urdoma,RU,41.9,75,61.75,48.54,0,3.02,1592435949
39,Port Hardy,CA,60.8,72,50.7,-127.42,75,6.93,1592435878
40,Lodja,CD,66.87,48,-3.48,23.43,4,2.24,1592435810
41,Bethel,US,73.4,64,41.37,-73.41,1,9.17,1592435949
42,Şile,TR,69.01,78,41.18,29.61,22,6.17,1592435952
43,Longyearbyen,SJ,39.2,77,78.22,15.64,40,5.82,1592435847
44,Myanaung,MM,75.47,95,18.28,95.32,100,8.63,1592435952
